Date,Open,High,Low,Close,Volume,Adj Close
2015-12-21,5.99,6.165,5.25,5.57,4839500,5.57
2015-12-18,4.70,6.29,4.70,5.96,7107400,5.96
2015-12-17,5.58,5.58,4.58,4.72,5230200,4.72
2015-12-16,5.45,5.82,5.37,5.65,2305000,5.65
2015-12-15,5.26,5.42,5.245,5.36,2089300,5.36
2015-12-14,5.65,5.78,5.19,5.26,2548700,5.26
2015-12-11,6.01,6.10,5.61,5.69,2622300,5.69
2015-12-10,6.00,6.23,5.96,6.13,1174500,6.13
2015-12-09,5.81,6.275,5.81,6.04,2007700,6.04
2015-12-08,5.92,6.00,5.73,5.78,2390500,5.78
2015-12-07,6.16,6.21,5.985,6.01,1626500,6.01
2015-12-04,5.95,6.27,5.86,6.21,1928100,6.21
2015-12-03,6.13,6.25,5.88,5.97,2757200,5.97
2015-12-02,6.00,6.19,5.90,6.12,1985200,6.12
2015-12-01,6.25,6.34,5.85,6.05,2182900,6.05
2015-11-30,6.31,6.40,6.20,6.25,1151500,6.25
2015-11-27,6.37,6.44,6.30,6.34,503700,6.34
2015-11-25,6.15,6.39,6.09,6.31,1349600,6.31
2015-11-24,5.94,6.26,5.94,6.15,2704900,6.15
2015-11-23,5.99,6.02,5.76,5.94,2500900,5.94
2015-11-20,6.05,6.14,5.875,5.99,2116400,5.99
2015-11-19,5.85,6.26,5.85,6.04,3733900,6.04
2015-11-18,5.63,5.89,5.605,5.84,4076900,5.84
2015-11-17,5.82,6.01,5.60,5.62,5757800,5.62
2015-11-16,5.78,5.97,5.655,5.86,1940700,5.86
2015-11-13,5.82,5.90,5.63,5.69,1366300,5.69
2015-11-12,5.92,5.95,5.75,5.85,2166300,5.85
2015-11-11,6.18,6.21,5.90,5.90,3530400,5.90
2015-11-10,6.33,6.42,6.10,6.15,2550500,6.15
2015-11-09,6.60,6.68,6.35,6.43,1819100,6.40
2015-11-06,7.37,7.50,6.665,6.73,2996400,6.6986
2015-11-05,8.32,8.65,7.30,7.52,2561100,7.484915
2015-11-04,8.44,8.80,8.05,8.13,4209700,8.092069
2015-11-03,7.35,8.72,7.35,8.48,3794100,8.440435
2015-11-02,6.90,7.72,6.85,7.60,2071300,7.564541
2015-10-30,6.78,7.00,6.70,6.93,1407400,6.897667
2015-10-29,6.64,6.945,6.59,6.91,1358200,6.87776
2015-10-28,6.64,6.83,6.53,6.66,1762300,6.628927
2015-10-27,6.43,6.57,6.213,6.56,1142900,6.529394
2015-10-26,6.75,6.75,6.42,6.45,1120100,6.419907
2015-10-23,6.42,6.66,6.34,6.56,1341000,6.529394
2015-10-22,6.40,6.54,6.23,6.35,1437400,6.320373
2015-10-21,6.50,6.55,6.20,6.26,1373400,6.230793
2015-10-20,6.11,6.47,6.01,6.41,2369400,6.380093
2015-10-19,6.39,6.46,5.95,6.08,2638300,6.051633
2015-10-16,7.10,7.17,6.35,6.39,2677700,6.360187
2015-10-15,7.20,7.20,6.90,7.07,2159500,7.037014
2015-10-14,7.35,7.43,7.13,7.21,2139600,7.176361
2015-10-13,7.93,7.99,7.32,7.34,1585300,7.305755
2015-10-12,8.03,8.15,7.795,8.05,1296600,8.012442
2015-10-09,8.55,8.68,7.93,8.03,2952200,7.992535
2015-10-08,8.26,8.58,7.00,8.43,6623500,8.390669
2015-10-07,8.25,8.60,7.745,7.87,4017900,7.833282
2015-10-06,7.57,8.46,7.55,8.21,3878400,8.171695
2015-10-05,7.23,7.76,7.15,7.56,4462600,7.524728
2015-10-02,6.50,7.215,6.46,7.08,2885600,7.046967
2015-10-01,6.50,6.63,6.31,6.57,2215500,6.539347
2015-09-30,6.25,6.49,5.94,6.47,4616600,6.439813
2015-09-29,6.56,6.70,6.15,6.18,4047600,6.151166
2015-09-28,7.00,7.04,6.435,6.48,4068500,6.449767
2015-09-25,7.72,7.74,7.05,7.06,3414000,7.027061
2015-09-24,7.94,7.97,7.20,7.58,4411800,7.544635
2015-09-23,8.64,9.15,7.89,7.98,2612700,7.942768
2015-09-22,9.00,9.02,8.47,8.69,1576800,8.649455
2015-09-21,8.94,9.19,8.73,9.14,1975800,9.097357
2015-09-18,9.32,9.37,8.72,8.76,3589800,8.719129
2015-09-17,9.62,9.86,9.40,9.45,1227600,9.40591
2015-09-16,9.45,9.79,9.36,9.61,1925300,9.565163
2015-09-15,9.03,9.44,9.03,9.40,1911600,9.356143
2015-09-14,9.10,9.10,8.79,8.96,1666000,8.918196
2015-09-11,9.23,9.37,9.03,9.07,2222900,9.027683
2015-09-10,9.40,9.48,9.055,9.16,2363100,9.117263
2015-09-09,9.35,9.63,9.26,9.30,2977900,9.25661
2015-09-08,9.05,9.16,8.99,9.12,2074500,9.077449
2015-09-04,9.27,9.34,8.96,8.97,1683600,8.92815
2015-09-03,8.80,10.03,8.71,9.39,3929200,9.34619
2015-09-02,9.20,9.42,8.64,8.67,3103700,8.629549
2015-09-01,9.28,9.65,9.26,9.37,2239100,9.326283
2015-08-31,9.37,9.82,9.37,9.67,1878100,9.624884
2015-08-28,9.05,9.71,9.05,9.68,1947600,9.634837
2015-08-27,9.22,9.73,9.14,9.57,2765400,9.52535
2015-08-26,8.54,9.14,8.36,9.12,2748400,9.077449
2015-08-25,9.44,9.52,8.30,8.31,2859000,8.271229
2015-08-24,8.83,9.585,8.30,9.20,2239700,9.157076
2015-08-21,9.50,9.75,9.06,9.20,2015800,9.157076
2015-08-20,10.03,10.03,9.34,9.62,3043300,9.575117
2015-08-19,9.93,9.96,9.62,9.76,1829400,9.714464
2015-08-18,10.78,10.79,9.862,10.02,3776100,9.973251
2015-08-17,10.58,11.123,10.56,10.98,2151900,10.928771
2015-08-14,10.62,11.00,10.27,10.61,1290300,10.560498
2015-08-13,9.91,11.23,9.62,10.79,2375500,10.739658
2015-08-12,10.26,10.65,9.76,10.02,2453700,9.973251
2015-08-11,11.00,11.14,10.46,10.69,1639200,10.640124
2015-08-10,11.06,11.50,10.80,11.10,2923900,11.048212
2015-08-07,11.21,11.28,10.25,11.01,3591500,10.958632
2015-08-06,9.56,12.26,9.51,11.10,7461000,11.048212
2015-08-05,9.76,10.16,9.33,9.47,7573000,9.425817
2015-08-04,10.50,10.671,9.86,9.97,3585500,9.923484
2015-08-03,10.89,10.95,10.46,10.64,2471600,10.590358
2015-07-31,11.48,11.50,10.82,10.92,2664800,10.869052
2015-07-30,11.55,11.94,11.248,11.59,2405600,11.535926
2015-07-29,11.04,12.30,10.958,12.19,2757400,11.585692
2015-07-28,10.35,11.31,9.86,11.30,3192600,10.739813
2015-07-27,11.24,11.25,10.655,10.75,3738900,10.217079
2015-07-24,11.70,11.76,11.24,11.31,3445400,10.749318
2015-07-23,12.06,12.21,11.73,11.85,2225000,11.262548
2015-07-22,12.15,12.45,11.64,12.04,3387700,11.443128
2015-07-21,12.37,12.55,12.33,12.38,2186100,11.766273
2015-07-20,12.86,12.93,12.39,12.49,4101900,11.87082
2015-07-17,13.04,13.10,12.92,13.04,2720600,12.393554
2015-07-16,12.82,13.17,12.76,13.11,4385400,12.460084
2015-07-15,12.72,13.63,12.50,12.99,4837100,12.346033
2015-07-14,11.24,12.76,11.24,12.66,6311800,12.032392
2015-07-13,11.23,11.66,11.06,11.40,6951500,10.834855
2015-07-10,11.92,12.25,11.145,11.66,8528100,11.081966
2015-07-09,13.04,13.23,11.81,11.81,10485200,11.224531
2015-07-08,14.07,14.10,12.32,13.02,9970700,12.374546
2015-07-07,15.89,16.120001,14.80,14.99,4827100,14.246884
2015-07-06,16.00,16.18,15.66,16.040001,3389400,15.244833
2015-07-02,16.43,16.51,15.90,16.51,6632000,15.691532
2015-07-01,16.00,16.68,14.60,16.51,11615400,15.691532
2015-06-29,14.97,15.85,14.97,15.50,1464600,14.731602
2015-06-26,14.99,15.74,14.80,14.98,1242300,14.23738
2015-06-25,16.799999,16.959999,14.663,14.99,2191400,14.246884
2015-06-24,17.50,17.50,16.549999,16.90,1171400,16.062198
2015-06-23,19.67,20.00,17.731001,17.844999,1500100,16.96035
2015-06-22,21.25,21.799999,20.030001,20.030001,821900,19.037032
2015-06-19,21.00,22.25,20.50,20.851,2636100,19.817331
