Date,Open,High,Low,Close,Volume,Adj Close
2015-11-27,25.26,25.26,25.25,25.25,900,25.25
2015-11-25,25.117001,25.299999,25.10,25.299999,6400,25.299999
2015-11-24,25.24,25.34,25.24,25.34,1100,25.34
2015-11-23,25.10,25.448999,25.049999,25.15,22700,25.15
2015-11-20,25.25,25.299999,25.17,25.219999,3300,25.219999
2015-11-19,25.52,25.530001,25.190001,25.299999,8600,25.299999
2015-11-18,25.200001,25.66,25.200001,25.309999,6800,25.309999
2015-11-17,25.219999,25.24,25.219999,25.24,3900,25.24
2015-11-16,25.200001,25.24,25.15,25.200001,7500,25.200001
2015-11-13,25.24,25.24,25.24,25.24,600,25.24
2015-11-12,25.24,25.24,25.195,25.195,3000,25.195
2015-11-11,25.25,25.25,25.049999,25.049999,5000,25.049999
2015-11-10,24.959999,25.219999,24.959999,25.139999,8200,25.139999
2015-11-09,25.18,25.219999,25.18,25.219999,1000,25.219999
2015-11-06,25.129999,25.16,25.021999,25.021999,2400,25.021999
2015-11-05,25.120001,25.129999,25.00,25.129999,2500,25.129999
2015-11-04,25.24,25.24,24.99,25.09,3300,25.09
2015-11-03,25.200001,25.219999,25.049999,25.219999,4100,25.219999
2015-11-02,25.209999,25.209999,25.10,25.10,3300,25.10
2015-10-30,24.98,25.10,24.85,25.02,12700,25.02
2015-10-29,25.139,25.139,24.85,24.969999,8400,24.969999
2015-10-28,25.16,25.205,25.049999,25.049999,5000,25.049999
2015-10-27,25.17,25.17,25.00,25.01,4500,25.01
2015-10-26,25.18,25.18,25.17,25.17,1500,25.17
2015-10-23,25.15,25.15,25.120001,25.129999,3800,25.129999
2015-10-22,24.969999,25.15,24.969999,25.00,6600,25.00
2015-10-21,25.120001,25.15,25.120001,25.15,1600,25.15
2015-10-20,25.120001,25.120001,25.00,25.120001,5000,25.120001
2015-10-19,24.99,25.01,24.950001,24.959999,7300,24.959999
2015-10-16,25.25,25.254999,25.01,25.02,10100,25.02
2015-10-15,25.200001,25.200001,25.040001,25.108999,9800,25.108999
2015-10-14,25.15,25.15,24.84,25.15,7600,25.15
2015-10-13,25.122999,25.16,25.049999,25.139999,5000,25.139999
2015-10-12,25.139999,25.139999,25.139999,25.139999,700,25.139999
2015-10-09,25.00,25.15,25.00,25.15,1900,25.15
2015-10-08,25.25,25.25,25.15,25.15,11700,25.15
2015-10-07,25.33,25.33,25.09,25.200001,2500,25.200001
2015-10-06,25.219999,25.219999,25.18,25.200001,2600,25.200001
2015-10-05,25.34,25.34,25.219999,25.219999,1900,25.219999
2015-10-02,25.00,25.290001,25.00,25.15,9100,25.15
2015-10-01,25.190001,25.190001,24.673,25.190001,3700,25.190001
2015-09-30,25.120001,25.139999,24.98,25.139999,8100,25.139999
2015-09-29,25.01,25.200001,25.01,25.10,6700,25.10
2015-09-28,25.50,25.50,25.50,25.50,1000,25.50
2015-09-25,25.301001,25.35,25.10,25.35,8200,25.35
2015-09-24,25.030001,25.35,25.030001,25.25,3000,25.25
2015-09-23,25.26,25.26,25.049999,25.200001,4000,25.200001
2015-09-22,25.200001,25.296,25.15,25.273001,7500,25.273001
2015-09-21,25.34,25.34,25.110001,25.25,5600,25.25
2015-09-18,25.10,25.34,25.030001,25.15,11600,25.15
2015-09-17,25.07,25.200001,25.07,25.129999,10000,25.129999
2015-09-16,25.16,25.200001,25.16,25.200001,3000,25.200001
2015-09-15,25.16,25.200001,25.110001,25.200001,4500,25.200001
2015-09-14,25.299999,25.299999,25.299999,25.299999,1400,25.299999
2015-09-11,25.35,25.35,25.200001,25.33,5500,25.33
2015-09-10,25.35,25.35,25.25,25.299999,6700,25.299999
2015-09-09,25.450001,25.60,25.299999,25.299999,6200,25.299999
2015-09-08,25.450001,25.450001,25.23,25.25,3600,25.25
2015-09-04,25.049999,25.200001,25.049999,25.200001,10100,25.200001
2015-09-03,25.017,25.049999,25.017,25.049999,7500,25.049999
2015-09-02,25.049999,25.18,25.00,25.049999,7400,25.049999
2015-09-01,25.08,25.08,25.00,25.00,2100,25.00
2015-08-31,25.00,25.049999,25.00,25.049999,4100,25.049999
2015-08-28,25.059999,25.059999,24.90,24.90,7000,24.90
2015-08-27,25.02,25.07,25.00,25.02,6100,25.02
2015-08-26,25.00,25.08,25.00,25.08,800,25.08
2015-08-25,25.00,25.10,24.82,25.00,11400,25.00
2015-08-24,24.969999,24.969999,24.799999,24.799999,21300,24.799999
2015-08-21,25.10,25.10,24.950001,25.00,8700,25.00
2015-08-20,25.15,25.15,25.030001,25.10,16800,25.10
2015-08-19,25.049999,25.190001,25.049999,25.129999,9600,25.129999
2015-08-18,25.00,25.00,24.99,25.00,12600,25.00
2015-08-17,24.99,25.01,24.844,25.01,26700,25.01
2015-08-14,24.889999,24.90,24.75,24.90,23000,24.90
2015-08-13,24.700001,25.00,24.597,24.90,55000,24.90
2015-08-12,24.65,24.700001,24.549999,24.65,50600,24.65
2015-08-11,24.620001,24.700001,24.610001,24.620001,34200,24.620001
2015-08-10,24.700001,24.700001,24.549999,24.620001,31800,24.620001
